,a_nav_status_xi,nav_status_D,nav_status_E,nav_status_N,nav_status_alt,nav_status_origin_lat,nav_status_origin_lon,nav_status_pitch,nav_status_roll,nav_status_yaw
118,2021-09-20 09:26:45.983792,0.0,-166.83613055158006,-96.47776777793244,0.0,39.154599999999995,2.9449,-0.0,0.0,1.58528733253479
119,2021-09-20 09:26:46.034209,0.0,-166.81537202810642,-96.48604342592212,0.0,39.154599999999995,2.9449,-0.0,0.0,1.5778040885925293
120,2021-09-20 09:26:46.077940,0.0,-166.80522198395556,-96.49024955217095,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6021368503570557
121,2021-09-20 09:26:46.112721,0.0,-166.79577835528724,-96.48578441909801,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6253935098648071
122,2021-09-20 09:26:46.144320,0.0,-166.78568942882123,-96.48991573260076,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6404459476470947
123,2021-09-20 09:26:46.177488,0.0,-166.7755955063013,-96.4942314845919,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6371091604232788
124,2021-09-20 09:26:46.240511,0.0,-166.7555600475345,-96.5030593920047,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6223703622817993
125,2021-09-20 09:26:46.273900,0.0,-166.74567987503278,-96.50741741308298,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6200147867202759
126,2021-09-20 09:26:46.308472,0.0,-166.72941615753476,-96.5030472068027,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6336579322814941
127,2021-09-20 09:26:46.340491,0.0,-166.71913846208645,-96.50734662488948,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6151936054229736
128,2021-09-20 09:26:46.373969,0.0,-166.70916019461043,-96.51156821641968,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6331182718276978
129,2021-09-20 09:26:46.407329,0.0,-166.69892244412895,-96.51579175606533,0.0,39.154599999999995,2.9449,-0.0,0.0,1.645991563796997
130,2021-09-20 09:26:46.476586,0.0,-166.67855513167743,-96.52414563424264,0.0,39.154599999999995,2.9449,-0.0,0.0,1.6521581411361694
131,2021-09-20 09:26:46.517663,0.0,-166.6574427048555,-96.5190022043822,0.0,39.154599999999995,2.9449,-0.0,0.0,1.635430932044983
