,a_modem_delayed_t,modem_delayed_X,modem_delayed_Y,modem_delayed_Z,modem_delayed_ori_W,modem_delayed_ori_X,modem_delayed_ori_Y,modem_delayed_ori_Z
466,2021-06-09 13:28:23.207343,-75.65497782558018,-66.75482345325368,6.712099838256836,1.0,0.0,0.0,0.0
467,2021-06-09 13:28:36.100360,-80.96842457672464,-67.84063430666811,6.94169979095459,1.0,0.0,0.0,0.0
468,2021-06-09 13:28:37.544498,-82.67708574903156,-69.51853111552602,5.447900104522705,1.0,0.0,0.0,0.0
469,2021-06-09 13:28:38.994510,-82.35027582757593,-68.48646210664553,6.053399848937988,1.0,0.0,0.0,0.0
470,2021-06-09 13:28:40.445488,-82.90272138513824,-68.83648874029349,6.531299877166748,1.0,0.0,0.0,0.0
471,2021-06-09 13:28:41.893111,-83.42199196468837,-69.17475728524283,7.560200023651123,1.0,0.0,0.0,0.0
472,2021-06-09 13:28:43.347887,-79.15189108400823,-62.13139578893521,1.5373999953269957,1.0,0.0,0.0,0.0
473,2021-06-09 13:28:44.802205,-84.69705339689497,-69.80816359782489,7.595700073242187,1.0,0.0,0.0,0.0
474,2021-06-09 13:28:46.256208,-85.38741852244121,-70.22744509944897,7.742800045013428,1.0,0.0,0.0,0.0
475,2021-06-09 13:29:03.024376,-45.12042803082914,-122.98366518007124,-39.713599395751956,1.0,0.0,0.0,0.0
476,2021-06-09 13:29:04.475292,-44.70514161426651,-125.40270022583654,-38.49019927978516,1.0,0.0,0.0,0.0
477,2021-06-09 13:29:11.037140,-61.33438770474098,-130.99332808799272,-33.36690063476563,1.0,0.0,0.0,0.0
478,2021-06-09 13:29:22.675934,-92.91842612087937,-59.48573207593445,8.044999885559083,1.0,0.0,0.0,0.0
479,2021-06-09 13:29:24.145747,-93.01715554079372,-58.52407311230809,7.757399845123291,1.0,0.0,0.0,0.0
480,2021-06-09 13:29:25.630694,-94.87935401765718,-59.904768996151006,6.0451000213623045,1.0,0.0,0.0,0.0
481,2021-06-09 13:29:32.085539,-94.74833131878367,-55.195502669035676,6.0308998107910154,1.0,0.0,0.0,0.0
482,2021-06-09 13:29:33.559627,-95.45758986909509,-55.17257043379662,5.620099830627441,1.0,0.0,0.0,0.0
483,2021-06-09 13:29:35.034239,-95.18531399124639,-54.47124258231133,8.64310007095337,1.0,0.0,0.0,0.0
484,2021-06-09 13:29:36.505848,-95.53390924178822,-53.65384737872846,6.202100086212158,1.0,0.0,0.0,0.0
485,2021-06-09 13:29:37.980052,-95.14174696296547,-52.24841547493982,5.399500179290771,1.0,0.0,0.0,0.0
486,2021-06-09 13:29:39.465971,-95.87127435153944,-52.306757383720154,4.87889986038208,1.0,0.0,0.0,0.0
487,2021-06-09 13:29:45.898794,-95.83240964337702,-49.30568874539311,4.932400035858154,1.0,0.0,0.0,0.0
488,2021-06-09 13:30:18.202739,-91.07922976936914,-36.57843431622507,1.2848999977111817,1.0,0.0,0.0,0.0
489,2021-06-09 13:30:24.723553,-88.27027913204392,-35.87899523221462,2.370099949836731,1.0,0.0,0.0,0.0
490,2021-06-09 13:30:31.214293,-85.7720989003748,-35.843952331679105,0.45340000391006474,1.0,0.0,0.0,0.0
491,2021-06-09 13:30:32.618446,-85.50161694625635,-36.01879837798053,-0.9812000513076782,1.0,0.0,0.0,0.0
492,2021-06-09 13:30:34.112940,-84.74973822037428,-35.91668818699165,1.6450999855995179,1.0,0.0,0.0,0.0
493,2021-06-09 13:30:35.603966,-84.0119524433262,-35.97815913708834,-2.5749001026153566,1.0,0.0,0.0,0.0
494,2021-06-09 13:30:37.086895,-82.85212631186474,-35.504494439121245,0.18020002841949467,1.0,0.0,0.0,0.0
495,2021-06-09 13:30:38.566346,-82.8642508687742,-36.01325654757636,-0.11900002956390365,1.0,0.0,0.0,0.0
496,2021-06-09 13:30:40.050015,-81.5809255262611,-35.5751040334078,-0.8604000329971313,1.0,0.0,0.0,0.0
497,2021-06-09 13:30:41.544171,-82.57288697483717,-36.59334969186777,2.553000020980835,1.0,0.0,0.0,0.0
498,2021-06-09 13:30:43.024318,-80.75300488020613,-35.90738366251814,1.179599988460541,1.0,0.0,0.0,0.0
499,2021-06-09 13:30:44.502058,-40.87870511371776,-32.6371131014474,-27.432799530029296,1.0,0.0,0.0,0.0
500,2021-06-09 13:30:45.972019,-78.87981398796629,-35.47435483865695,1.2578999876976014,1.0,0.0,0.0,0.0
501,2021-06-09 13:34:25.857784,-26.30968802861029,-17.869038192167082,3.555300045013428,1.0,0.0,0.0,0.0
502,2021-06-09 13:34:28.730403,-26.53419416464086,-18.853126698884296,3.2302999973297117,1.0,0.0,0.0,0.0
503,2021-06-09 13:34:30.254137,-26.881187827436776,-19.34085057146156,4.402799892425537,1.0,0.0,0.0,0.0
504,2021-06-09 13:34:36.733809,-27.18527175100428,-21.952823928633677,1.583900022506714,1.0,0.0,0.0,0.0
505,2021-06-09 13:34:38.247342,-28.280032138175365,-22.385833330387925,4.047400045394897,1.0,0.0,0.0,0.0
506,2021-06-09 13:34:39.739165,-26.905561996153985,-23.327372699692262,2.9077001094818113,1.0,0.0,0.0,0.0
507,2021-06-09 13:34:41.224798,-25.42297037722802,-24.315346040267286,2.300100016593933,1.0,0.0,0.0,0.0
508,2021-06-09 13:34:58.001765,-26.780034166318863,-31.315053916741377,-7.218400192260742,1.0,0.0,0.0,0.0
509,2021-06-09 13:35:09.600890,-25.00986690640051,-36.398146826372724,1.5853000164031985,1.0,0.0,0.0,0.0
510,2021-06-09 13:35:11.079302,-26.34854116968056,-36.59087827233094,-0.4122000455856323,1.0,0.0,0.0,0.0
511,2021-06-09 13:35:17.491916,-28.547382644304875,-38.67640621564948,0.6277000039815903,1.0,0.0,0.0,0.0
512,2021-06-09 13:35:18.959956,-28.627126012668953,-39.15517115443511,1.0198999971151352,1.0,0.0,0.0,0.0
513,2021-06-09 13:35:20.422639,-28.962050772824497,-39.527087170348125,0.7613000005483628,1.0,0.0,0.0,0.0
514,2021-06-09 13:35:21.886414,-45.81081572983692,-102.00307522795414,-53.4489013671875,1.0,0.0,0.0,0.0
515,2021-06-09 13:35:23.350523,-29.875816735057356,-40.20540147318886,2.850699949264526,1.0,0.0,0.0,0.0
516,2021-06-09 13:35:24.812887,-30.75717466382445,-40.43380457659076,4.178900051116943,1.0,0.0,0.0,0.0
517,2021-06-09 13:35:31.331769,-53.73054276068185,-97.7101307645689,-51.76060028076172,1.0,0.0,0.0,0.0
518,2021-06-09 13:35:37.848069,-36.71168259859303,-41.39304864712743,3.7303998947143553,1.0,0.0,0.0,0.0
519,2021-06-09 13:35:39.307749,-36.59479911009034,-41.78525954773032,4.915799903869629,1.0,0.0,0.0,0.0
520,2021-06-09 13:35:40.760067,-58.86605553175251,-99.72279322420063,-49.10470123291016,1.0,0.0,0.0,0.0
521,2021-06-09 13:35:42.215884,-38.002227794243254,-42.14043444630319,5.2534997940063475,1.0,0.0,0.0,0.0
522,2021-06-09 13:35:58.955638,-44.495417268700145,-45.14316366117875,2.1573999404907225,1.0,0.0,0.0,0.0
523,2021-06-09 13:36:05.467817,-47.67865021521016,-46.5360826118271,4.769300031661987,1.0,0.0,0.0,0.0
524,2021-06-09 13:36:06.918477,-47.97314601302693,-46.64857206410204,2.2922000169754027,1.0,0.0,0.0,0.0
525,2021-06-09 13:36:08.368276,-48.77600154710301,-46.896238352211654,3.8532999038696287,1.0,0.0,0.0,0.0
526,2021-06-09 13:36:09.822159,-49.52036426299506,-46.98839806625513,-0.31960005760192856,1.0,0.0,0.0,0.0
527,2021-06-09 13:36:11.269300,-49.730796831223,-47.18606843408466,3.853499937057495,1.0,0.0,0.0,0.0
528,2021-06-09 13:36:17.726132,-53.058405485152406,-47.27870156808585,4.127300071716308,1.0,0.0,0.0,0.0
529,2021-06-09 13:36:19.182565,-53.7636715165691,-47.31891606677708,3.5239999771118162,1.0,0.0,0.0,0.0
530,2021-06-09 13:36:20.634995,-54.13917928637915,-47.25702219903816,3.489500093460083,1.0,0.0,0.0,0.0
531,2021-06-09 13:36:22.078643,-54.98016384442314,-47.29544328224786,3.6278999328613284,1.0,0.0,0.0,0.0
532,2021-06-09 13:36:23.531945,-55.814091761391325,-47.36373751778842,3.2256000518798826,1.0,0.0,0.0,0.0
533,2021-06-09 13:36:24.986565,-55.91450474478084,-47.344596549299425,5.259099769592285,1.0,0.0,0.0,0.0
534,2021-06-09 13:36:26.437513,-56.69817750001012,-47.22779650127693,3.4191000938415526,1.0,0.0,0.0,0.0
535,2021-06-09 13:36:27.891879,-57.291834166357916,-47.335694242355245,4.006599950790405,1.0,0.0,0.0,0.0
536,2021-06-09 13:36:29.347199,-57.980766898966806,-47.57653622904242,6.691600131988525,1.0,0.0,0.0,0.0
537,2021-06-09 13:36:30.800332,-58.74059592282888,-47.495230399167724,4.831099796295166,1.0,0.0,0.0,0.0
538,2021-06-09 13:36:37.267052,-61.164479839204255,-47.880523445888215,5.982300090789795,1.0,0.0,0.0,0.0
539,2021-06-09 13:36:43.698055,-64.29652900058036,-48.714910935044045,4.306400108337402,1.0,0.0,0.0,0.0
